Question,Answer
What is the purpose of the Right to Information (RTI) Act?,"The purpose of the Right to Information (RTI) Act is to provide citizens with the right to seek information from government offices, as well as the responsibility of the government to provide this information. The RTI Act was enacted under the Fundamental Right to freedom of thought and expression, and it expands on the meaning of this right to include the right to information. Additionally, the Supreme Court has expanded the meaning of the right to life to include the right to food, and other constitutional rights beyond those listed in the Constitution. The RTI Act allows citizens to seek directions or orders from the Supreme Court and High Courts for the enforcement of these Fundamental Rights."
Which Fundamental Right allows citizens to move the court if their rights are violated?,"The Fundamental Right that allows citizens to move the court if their rights are violated is the Right to Constitutional Remedies. This right is provided under Article 32 of the Indian Constitution, which states that citizens can approach the Supreme Court or High Courts for enforcement of their Fundamental Rights through the issuance of directions, orders, or writs."
What is meant by ‘Rule of Law’?,"The ""Rule of Law"" refers to a system where laws are created, enforced, and applied equally to everyone without any discrimination or favoritism. In such a system, decisions are made through a fair and transparent process, and everyone is accountable for their actions. This means that there are rules and regulations in place that are consistently enforced, and no one is above the law.

If no one followed these rules, society would not be able to function effectively. For instance, without laws, there would be no framework for resolving disputes or protecting individual rights. It would lead to chaos and disorder, making it difficult for people to live in harmony with each other.

The two pictures shown in Figure 10.1 on page 151 illustrate this concept. The first picture shows a society where there are no rules or laws, and everyone does as they please. This leads to chaos and disorder, as seen in the second picture where people are fighting and causing destruction.

In my school, there are several rules that govern our behavior and conduct. These rules were created by the school administration and are enforced by teachers and other authority figures. Some of these rules include:

* Respect for teachers and peers
* No violence or bullying
* Follow class schedules and homework assignments
* Use of technology in a responsible manner

These rules are important because they provide a framework for our behavior and help maintain order and discipline in the school. They also help ensure that everyone is treated fairly and with respect.

The process of creating laws and regulations is known as governance, and it involves decision-making by a government or other authority figures. Laws are created through a democratic process where elected representatives make decisions based on the needs and preferences of the people they represent. These laws are then enforced by various authorities, such as police and judicial systems.

As the President of India, I would not have the authority to take decisions on my own. All decisions would need to be made through a democratic process involving input from various stakeholders and representatives. This ensures that decisions are fair, transparent, and accountable to the people they affect."
Who is responsible for making laws in India?,"In India, the legislative, executive, and judicial branches of government work together to create and uphold laws. The legislative branch (Legislature) makes laws; the executive branch (Government) implements or executes those laws, and the judicial branch (Judiciary) interprets and enforces them.

In the case of cybercriminals, all three branches play a role:

1. Legislative Branch: The legislature makes laws to address cybercrime, such as the Information Technology Act of 2000.
2. Executive Branch: The government, through its various agencies like the Cyber Police, enforces these laws and takes action against cybercriminals.
3. Judicial Branch: The judiciary interprets and enforces the laws related to cybercrime, ensuring that they are fair and just.

In conclusion, all three branches of government in India work together to create and uphold laws related to cybercrime, ensuring that justice is served while protecting the rights of individuals."
What is the tenure of a Governor of a state?,"The tenure of a Governor of a state is not explicitly mentioned in the provided context. However, we can infer some information about the Governor's role and tenure based on the given passage.

According to the passage, the President of India and the Governor of a state are not the actual executive heads of the Central or State government, respectively. Instead, they have certain powers under special circumstances but do not normally interfere in the affairs of the Central or State government. This suggests that the Governor's role is largely ceremonial, with limited powers to act independently.

Therefore, we can infer that the tenure of a Governor of a state is likely to be relatively short, possibly ranging from a few years to a term of four years, as mentioned in the passage. However, this is only an inference based on the given information and does not constitute a definitive answer to the question."
Which law protects women from domestic violence?,"  The law that protects women from domestic violence is the Protection of Women from Domestic Violence Act of 2006. This law provides a comprehensive definition of domestic violence and recognizes a woman's right to a violence-free home. Two rights that the new law helped achieve for women who are survivors of violence are:

1. Temporary custody of children: The law provides for temporary custody of children in cases of domestic violence, ensuring their safety and well-being.
2. Legal protection: The law provides legal protection to women who face physical and mental violence within their homes, giving them the right to seek a protection order against any further violence.

One process used to make more people aware of the need for this law was campaigning. Women's groups and organizations led campaigns to fight discrimination and violence against women, which ultimately led to new laws being passed, including the Protection of Women from Domestic Violence Act of 2006.

Two different ways in which people lobbied Parliament were:

1. Meetings with different organizations: Meetings were held with different organizations to raise awareness and build support for the law.
2. Press conferences: Press conferences were organized to bring attention to the need for the law and to put pressure on the government to pass it."
What is meant by ‘universal suffrage’?,"Universal suffrage refers to the principle that all citizens aged 18 years and above in a country have an equal right to vote in elections, regardless of their caste, religion, or gender. This means that every citizen has one vote and each vote has equal value, with no one being denied the right to vote without a good reason. The concept of universal suffrage is linked to the first condition of a democratic election, which states that everyone should get an equal opportunity to choose representatives. In other words, universal suffrage ensures that all citizens have an equal say in decisions that affect them, regardless of their background or identity."
Who is the chief executive of a state in India?,"The Chief Minister of a state in India is the executive head of the state government, led by the Governor (nominal head)."
Which constitutional body conducts elections in India?,The constitutional body that conducts elections in India is the Election Commission of India (EC).
What does the term ‘secular state’ mean?,"The term ""secular state"" refers to a government that separates its powers from those of religion, ensuring that no one religion dominates or is preferred over others. In India, the Constitution mandates a secular state to prevent any religious group from dominating another, and to ensure that individuals have the freedom to practice their chosen religion without interference from the State. This differs from the understanding of secularism practiced in the United States, where there is no official religion and the government does not give preference to any one religion."
Which Fundamental Right ensures free speech?,The Fundamental Right that ensures free speech is Right to Freedom of Speech and Expression (No. 1).
Which Article of the Indian Constitution prohibits untouchability?,Article 17 of the Indian Constitution prohibits untouchability.
Who appoints the Chief Justice of India?,"Answer: The Chief Justice of India is appointed by the President of India after consultation with the Supreme Court.

Reason for independence in appointment of judges:

* In practice, it means that senior judges of the Supreme Court select new judges of the Supreme Court and High Courts, leaving little scope for interference by the political executive. (Para 70)

Reason for independence in removal of judges:

* Judges can be removed only by an impeachment motion passed separately by two-thirds members of the two Houses of Parliament, making it difficult to remove them from their position. (Para 70)

Reason for independence in powers of the judiciary:

* The Supreme Court and High Courts have the power to interpret the Constitution and declare invalid any law or actions of the legislature. They can also intervene to prevent misuse of government power and check malpractices by public officials, enjoying a high level of confidence among the people. (Para 70-71)

Reason for people approaching courts against government decisions:

* Any person can approach the courts if public interest is hurt by the actions of the government, allowing the judiciary to intervene and protect public interest and human rights. (Para 71)"
Which part of the Constitution deals with Fundamental Rights?,"The part of the Constitution that deals with Fundamental Rights is Article 14 to Article 32. These articles guarantee various fundamental rights to citizens, including the right to equality, freedom from discrimination, protection against arbitrary arrest and detention, and the right to constitutional remedies for violations of these rights."
What does the Directive Principles of State Policy promote?,"The Directive Principles of State Policy promote social and economic reforms to reduce poverty and serve as a guide for state governments to institute laws and policies that promote greater social and economic welfare. The Constitution's Fundamental Rights, including the rights of minorities against the majority, are also promoted through these Directive Principles.

The following situations would violate one or more of the Fundamental Rights:

1. If a 13-year old child is working in a factory manufacturing carpets, as it goes against the right to education and the right to protection from exploitation.
2. If a politician in one state decides to not allow labourers from other states to work in his state, as it goes against the right to freedom of movement and employment.
3. If a group of people are not given permission to open a business, as it goes against the right to start a business and the right to equality before the law.

India is a federal country because it has a constitutional framework that divides power between the Union Government and the State Governments. The Union Government has the power to make laws on subjects listed in the Union List, while the State Governments have the power to make laws on subjects listed in the State List. The Concurrent List includes subjects of common interest to both the Union Government and the State Governments."
Who was the first Prime Minister of India?,Jawaharlal Nehru was the first Prime Minister of India.
Which law governs citizenship in India?,"The law governing citizenship in India is the Constitution of India. According to Article 12 of the Constitution, the government shall not deny any person in India equality before the law or the equal protection of the laws. This means that all citizens, regardless of their status, are subject to the same laws and cannot be given special treatment or privilege just because of their position or status. The Constitution also guarantees the right to equality, which includes the right to equality before the law and the equal protection of the laws, as well as other fundamental rights such as the right to freedom of expression, assembly, association, movement, residence, and profession, and the right against exploitation, among others."
Which body resolves disputes between states?,"The correct answer is (a) State government State List. According to the context, the body that resolves disputes between states is the state government. The table provided in the context shows that disputes between states are resolved under the State List, which indicates that the state government has the authority to resolve such disputes. Therefore, option (a) is the correct answer."
Who is the chief legal advisor to the Government of India?,The Chief Legal Advisor to the Government of India is the Attorney General of India.
What is meant by ‘Vote of Confidence’?,"The answer to the question ""What is meant by ‘Vote of Confidence’?"" is:

A vote of confidence refers to a situation where a candidate who secures the highest number of votes from a constituency is declared elected. In a general election, the counting of votes in all the constituencies takes place at the same time, and within a few hours of counting, all the results are declared, making it clear as to who will form the next government.

The percentage of voters who had actually cast their votes is not explicitly mentioned in the context, but it can be inferred that the turnout percentage is an important factor in determining the legitimacy and validity of an election.

To win an election, it is necessary for a person to secure more than half the votes polled. This is because the electoral system in most democratic countries is based on the principle of majority rule, where the candidate with the most votes wins.

The statement ""People can indicate which policies they prefer"" is not a good reason to say that Indian elections are democratic, as it does not necessarily determine the outcome of the election or reflect the will of the majority of voters.

The correct matching of the statements with their corresponding options is:

a) It is necessary to keep the voters list up to date because... (so that everyone has one and only one vote)
b) Some constituencies are reserved for SCs and STs so... (to ensure representation of marginalized communities)
c) Everyone has one and only one vote so... (to prevent fraudulent voting and ensure fairness in the electoral process)"
What is a Money Bill?,"Based on the information provided in the context, a Money Bill is a payment made by the employer to the worker for a specific period of time."
Who controls the Defence forces in India?,"Based on the information provided in the context, the Parliament controls the Defence forces in India. The Prime Minister is the executive head of the armed forces, but the Parliament has the power to control the Council of Ministers and can remove the Prime Minister and all ministers if it loses confidence in them. Additionally, the Lok Sabha has the power to appoint the Prime Minister, and only a person who enjoys the support of a majority of its members can hold the position. The Rajya Sabha, on the other hand, does not have the power to remove the Council of Ministers or appoint the Prime Minister."
Which Fundamental Right ensures cultural and educational rights?,"The Fundamental Right that ensures cultural and educational rights is Right to Cultural and Educational Rights, as stated in the Constitution of India. This right provides protection for the interests of minorities to conserve their language, script, and culture, as well as the right to establish and administer educational institutions of their choice. The Constitution aims to ensure cultural justice to distinct cultural and religious groups by granting them different forms of cultural rights, preventing the dominance or wiping out of their culture by the majority community."
What is meant by ‘Quorum’ in Parliament?,"In Indian parliamentary system, 'quorum' refers to the minimum number of members required to be present in the House for conducting official business. It is a rule that ensures that there is a sufficient number of members present to transact official business and make decisions. This rule is crucial in maintaining the proper functioning of parliamentary democracy, as it ensures that important matters are not delayed or blocked due to lack of quorum."
Who is responsible for state law enforcement?,"According to the given context, the state government is responsible for enforcing state laws related to cybercrime, including the use of mobile phones while driving. The three levels of government involved in dealing with this problem are:

1. State Government: This level is responsible for implementing and enforcing laws related to cybercrime at the state level.
2. National Government: The national government is responsible for setting policies and laws that apply throughout the country, including those related to cybercrime.
3. Local Government: The local government, such as the town or village level, is responsible for enforcing laws and maintaining law and order within their jurisdiction.

The problems in enforcement include the lack of coordination between different levels of government, inadequate resources and infrastructure, and a lack of awareness among the public about the laws related to cybercrime. Improving enforcement can be achieved through increased coordination between governments, proper resource allocation, and public education campaigns to raise awareness about the laws related to cybercrime."
What is an Ordinance?,"An Ordinance is a rule or law that is created by an authority, such as a government or administrative body, to regulate or govern a specific area or activity. In the context of Article 51A of the Indian Constitution, an Ordinance refers to any law or rule that is created to safeguard public property and abjure violence, or to promote education and development in individuals and society. Additionally, it may refer to any other law or rule that is created to fulfill the fundamental duties mentioned in Article 51A, such as compassion for living creatures and striving towards excellence in all spheres of activity."
Who appoints the Chief Minister?,"The President of India appoints the Chief Minister. According to the context, if a party or coalition gets a majority in the Lok Sabha, the President appoints the leader of that party or coalition as the Prime Minister. If no single party or alliance gets a majority, the President appoints the person most likely to secure a majority support as the Chief Minister."
Which law protects citizens from wrongful imprisonment?,"Based on the provided context, the law that protects citizens from wrongful imprisonment is the Indian Constitution, specifically Article 21 which states that ""No person shall be deprived of his life or personal liberty except according to procedure established by law."" This means that any arrest or detention must be done in accordance with a legal procedure and that the individual has the right to consult a lawyer or engage one for their defense. Additionally, the context highlights the importance of the judiciary in protecting the rights of citizens and ensuring that any violation of Fundamental Rights can be addressed through the court system."
Who presents the Union Budget?,The Union Budget is presented by the Finance Minister of India.
What is meant by ‘Impeachment’?,"Impeachment refers to the process of removing a public official, such as a judge, from their position through a formal accusation and trial. In India, impeachment is governed by the Constitution and the Judges Inquiry Act of 1968. According to the Act, an impeachment motion can be passed separately by two-thirds members of both Houses of Parliament to remove a judge from their position. The process is designed to provide a check on the power of the political executive and ensure the independence of the judiciary."
Who elects the Vice President of India?, The Vice President of India is elected by the Parliament of India (Sansad).
Which body is responsible for disaster management in India?,"The body responsible for disaster management in India is the local governments, state governments, and central or union government."
What is the maximum gap allowed between two Parliament sessions?,"The maximum gap allowed between two Parliament sessions is not explicitly mentioned in the provided context. However, we can infer some information about the frequency of Parliament sessions from the given passage.

According to the context, Parliament consists of two Houses: the Council of States (Rajya Sabha) and the House of the People (Lok Sabha). The President of India is also a part of Parliament, although she does not belong to either House. All laws made in the Houses come into force only after receiving the assent of the President.

From Chapter 3, we know that Lok Sabha elections take place every five years, and Rajya Sabha members are elected for a term of six years, with one-third of the members being replaced every two years.

Based on this information, it is possible to infer that there may be gaps between Parliament sessions, but the maximum gap allowed is likely to be within the range of several months to a year. This is because the next Lok Sabha elections are scheduled to take place every five years, and Rajya Sabha members are elected for a term of six years, with one-third of the members being replaced every two years. Therefore, there would be at least one session of Parliament per year, and possibly more depending on the need for legislation or other business.

In summary, while the maximum gap allowed between two Parliament sessions is not explicitly mentioned in the context, it can be inferred that the frequency of Parliament sessions is likely to be at least once a year, with possible additional sessions called as needed."
Who administers the Oath of Office to the President?,"The book refers to the President as ""she"" because the current President of India is a woman, Shri Ram Nath Kovind. The context provides information that all major appointments are made in the name of the President, including the appointment of the Prime Minister, which was made by Shri Ram Nath Kovind. Therefore, it is correct to refer to the President as ""she"" in this context."
What is meant by ‘Judicial Activism’?,"Judicial Activism refers to the practice of judges actively interpreting and enforcing the law to promote social justice and protect individual rights, beyond just interpreting the law according to its literal meaning. It involves the judiciary taking an active role in shaping the law and society by striking down unjust laws, upholding Fundamental Rights, and ensuring that the rule of law is upheld.

In the context of the Sudha Goel case, the High Court and Supreme Court verdicts can be filled in as follows:

* The accused took the case to the High Court because they were unhappy with the decision of the Trial Court (true).
* They went to the High Court after the Supreme Court had given its decision (false. The Supreme Court did not give a decision in this case).
* If they do not like the Supreme Court verdict, the accused can go back again to the Trial Court (false. Once the Supreme Court has given a final verdict, there is no possibility of going back to a lower court).

The last concept of 'access to justice' highlights the role of Public Interest Litigation (PIL) in facilitating justice, and touches upon the delay in providing justice. The student's growing knowledge of Fundamental Rights should be used while discussing this section."
What is meant by ‘Public Interest Litigation’ (PIL)?,"Public Interest Litigation (PIL) refers to a legal mechanism devised by the Supreme Court in the early 1980s to increase access to justice for individuals or organizations whose rights are being violated. PIL allows for the filing of a petition in the High Court or Supreme Court on behalf of those whose rights are being violated, with the legal process being simplified and even a letter or telegram addressed to the Supreme Court or High Court being treated as a PIL. The introduction of PIL has been significant in securing justice on a large number of issues, such as rescuing bonded laborers from inhuman work conditions and securing the release of prisoners in Bihar who had been kept in jail even after their punishment term was complete. Additionally, the mid-day meal provided to children in government and government-aided schools is also a result of a PIL. The independence of the judiciary is key to its functioning, and examples of different decision-making processes can be used to convey this concept to students. The working of the judicial process and the role of PIL in facilitating justice are important concepts that students should understand, along with the idea that delay in providing justice can have significant consequences."
What is the meaning of ‘Adjournment Motion’?,"Based on the information provided in the context, ""Adjournment Motion"" refers to a motion made in a legislative assembly or council to postpone or adjourn a meeting or session."
What is the importance of the Indian Constitution?,"The Indian Constitution is crucial for several reasons:

1. Lays out the fundamental nature of society: The Constitution outlines the ideals that form the basis of Indian society, providing a shared understanding of what kind of country citizens aspire to live in.
2. Provides a set of rules and principles: The Constitution serves as a framework for governance, setting out the agreement among all persons in India on how they want the country to be ruled. This includes the type of government, as well as ideals that the country should uphold."
What is meant by ‘Judicial Independence’?,"What is meant by 'Judicial Independence'?
Judicial independence refers to the independence of the judiciary from external interference or control, particularly from the legislature and executive branches of government. It means that the judges are not under the control of the government or according to the wishes of the party in power. In other words, the judiciary is insulated from political pressures and influences, allowing it to function independently and impartially in dispensing justice. This independence is crucial for ensuring that the judicial system operates fairly and effectively, without fear or favour, and that the rights of citizens are protected.

In the context provided, the author explains the importance of judicial independence in a democratic society. The author posits that in a situation where a powerful politician has encroached on land belonging to an individual, the lack of independence of the judiciary would allow the judge to be partial to the politician, leading to an unfair decision. The author highlights that the Indian Constitution provides for the independence of the judiciary to prevent such situations and ensure that the courts are not under the government's control. The author also notes that the 'separation of powers' is a key feature of the Constitution, which ensures that other branches of government cannot interfere with the work of the judiciary.

In conclusion, judicial independence is essential for ensuring that the judicial system operates fairly and impartially in a democratic society. It allows the judges to make decisions based on the law and the facts of the case, without fear or favour, and protects the rights of citizens from political interference."
Which body handles financial matters of the government?,"Based on the provided context, the body that handles financial matters of the government is the Executive branch of the government."
What is meant by ‘Cabinet Minister’?,"A ""Cabinet Minister"" refers to a top-level leader of the ruling party or parties who are in charge of major ministries in a parliamentary democracy. Cabinet Ministers usually meet to take decisions in the name of the Council of Ministers, which comprises about 25 ministers. They work as a team and have different views and opinions, but everyone has to own up to every decision of the Cabinet. The Prime Minister chairs Cabinet meetings, coordinates the work of different Departments, exercises general supervision over ministries, and distributes and redistributes work among ministers. The Prime Minister is the most powerful institution in India within the Cabinet, with wide-ranging powers to make final decisions in case of disagreements between Departments, dismiss ministers, and coordinate the work of different ministries."
Who is responsible for foreign relations of India?,The Prime Minister of India is responsible for foreign relations of India.
What is meant by ‘Article 370’?," Article 370 refers to the Fundamental Duties mentioned in Part IVA of the Indian Constitution, specifically (k) which states that a parent or guardian must provide opportunities for education to their child between the ages of 6 and 14. This duty was inserted by the Constitution (86th Amendment) Act, 2002."
Which constitutional body oversees corruption in India?,"Based on the information provided in the context, the constitutional body that oversees corruption in India is the Supreme Court and High Courts. According to the context, the Supreme Court and High Courts have the power to interpret the Constitution of India and can declare invalid any law of the legislature or actions of the executive if they find such a law or action is against the Constitution. Additionally, the courts have the power to examine and evaluate any law and action of the government to determine whether it is good or bad, which makes them the guardian of the Fundamental Rights in India."
Who appoints Supreme Court judges?,The Supreme Court judges are appointed by the President of India on the advice of the Prime Minister.
What is meant by ‘Judicial Restraint’?," Judicial restraint refers to the power of the judiciary to exercise caution and discretion when interpreting and applying the law, especially when it comes to reviewing laws passed by the legislature. In other words, judicial restraint involves the judiciary being cautious and limited in its ability to strike down laws passed by the legislature, only intervening when absolutely necessary to protect the fundamental rights of citizens or the basic structure of the Constitution. This concept is essential in maintaining the balance of power between the different branches of government and preventing any one branch from overstepping its authority."
What is the minimum age for Rajya Sabha membership?,"The minimum age for Rajya Sabha membership is 14 years. According to the amendment made in the Child Labour (Prohibition and Regulation) Act, 1986, children below the age of 14 years are prohibited from working in any occupation, including hazardous ones. The census of 2011 reveals that over 4 million children aged between 5 and 14 work in various occupations, including hazardous ones. Therefore, to address these concerns of social justice, the Parliament amended the act to ban the employment of children below the age of 14 years in all occupations and of adolescents (14-18 years) in hazardous occupations and processes."
Which law governs criminal offenses in India?,"  The law governing criminal offenses in India is the Indian Penal Code (IPC). It is a federal law that provides for the punishment of various criminal acts, including cybercrimes such as hacking and spreading misinformation. The executive, judiciary, and legislature work together to enforce these laws and ensure that those who commit cybercrimes are brought to justice.

The executive branch, led by the President or Prime Minister, is responsible for enforcing the laws passed by the legislature. The cyber police, which falls under the executive branch, is responsible for investigating and prosecuting cybercrimes.

The judiciary, headed by the Supreme Court, interprets the laws and ensures that they are applied fairly and justly. It also decides on the punishment for those found guilty of cybercrimes.

The legislature, which is made up of elected representatives, passes laws to govern criminal offenses in India. The IPC provides for various punishments for different types of cybercrimes, including fines and imprisonment.

In the case of the cybercriminals described above, the executive branch (cyber police) investigates and prosecutes the criminals, while the judiciary decides on their guilt and punishment. The legislature has passed laws to govern these crimes, and the Constitution guarantees the fundamental rights of the individuals involved, including the right to equality and protection against exploitation.

Enforcement of safety laws is important in any factory or workplace to prevent accidents and ensure a safe working environment. Similarly, laws governing traffic and road safety are important to prevent accidents on the roads. Poor enforcement of these laws can lead to fatal consequences, as seen in the case of the Bhopal gas tragedy.

To improve enforcement, it is necessary to increase public awareness about the importance of following laws and regulations. This can be done through campaigns and education programs. Additionally, there must be adequate resources and infrastructure available to enforce these laws effectively."
What is meant by ‘Right to Property’?,"The ""Right to Property"" refers to the constitutional right of individuals to own or possess property, as guaranteed by the Constitution of India. This right is not an enumerated Fundamental Right, but it is still a constitutional right that can be protected through legal means, such as the issuance of directions or orders by the Supreme Court and High Courts for the enforcement of these rights. The government is responsible for providing free and compulsory education to all children up to the age of 14 years, and Parliament has enacted laws giving citizens the right to information and the freedom of thought and expression. Additionally, the Constitution provides many more rights that are not limited to Fundamental Rights, such as the right to vote in elections, which are important constitutional rights."
Who has the power to create new states in India?,"The answer is: The Parliament has the power to create new states in India. According to the Constitution of India, the Parliament has the authority to create new states by amending the List III (Residuary Powers) of the Seventh Schedule, which lists the subjects that are reserved for the Union Government and the States. Any changes to the power-sharing arrangement between the Central and State Governments require a two-thirds majority in both houses of Parliament and ratification by the President. However, the creation of new states is subject to certain constitutional provisions, such as Article 371, which grants special powers to certain states based on their unique social and cultural conditions."
What is meant by ‘Parliamentary Privileges’?," In this context, ""Parliamentary Privileges"" refers to the special rights and immunities enjoyed by members of Parliament or legislative assemblies. These privileges are designed to protect MPs from external interference while they perform their duties, such as making laws, controlling government spending, and holding the executive accountable. Some of these privileges include:

1. Immunity from prosecution: MPs cannot be arrested or charged with a criminal offense without the permission of Parliament.
2. Freedom of speech: MPs have the right to express their opinions freely in Parliament, without fear of retribution or censorship.
3. Privileged access to information: MPs have access to classified information and government documents that are not available to the general public.
4. Protection from harassment: MPs are protected from harassment or intimidation by the public or other legislators while they are performing their duties.
5. Financial benefits: MPs receive a salary and other financial benefits, such as travel allowances and office expenses, to enable them to carry out their parliamentary functions.

These privileges are essential for Parliament to function effectively and ensure that the government is accountable to the people through their elected representatives. They help to protect MPs from external influences and ensure that they can perform their duties without fear or favour."
What is the meaning of ‘Hung Parliament’?,"A ""Hung Parliament"" refers to a situation where no single political party or coalition has a majority of seats in a country's legislative body, such as a parliament or congress. In other words, there is a deadlock or tie between the different political groups, making it difficult or impossible for any one group to pass new laws or make decisions. This can occur when no single party wins enough seats to control the majority of seats in the legislature, or when multiple parties are roughly evenly divided and cannot agree on key issues. A Hung Parliament can lead to political instability and a lack of progress on important issues, as the different groups may struggle to find common ground and reach agreements."
Who has the power to declare war in India?," Based on the information provided in the context, the President of India does not have the power to declare war. According to the document, the Union Government has special powers in running Union Territories, but the President cannot make changes to the power sharing arrangement between the Union and State Governments without the approval of both Houses of Parliament with at least two-thirds majority. Therefore, the decision to declare war would require the approval of the Parliament, which is a higher authority than the President."
What is meant by ‘Defection’ in politics?,"The cartoons highlight the challenges of lack of internal democracy within political parties, dynastic succession, and the misuse of money and muscle power in politics. The ways to curb these misuses include:

1. Practicing open and transparent procedures for party functioning, such as maintaining membership registers and holding organizational meetings.
2. Establishing fair and merit-based procedures for selecting leaders, rather than relying on personal loyalty to the leader.
3. Implementing measures to prevent the misuse of money and muscle power in politics, such as campaign finance regulations and anti-corruption laws.

The cartoons do not suggest that people contest elections only to make money, but rather highlight the need for political parties to remain committed to serving the well-being of the people."
Which law prevents political defection in India?,"The law that prevents political defection in India is the Constitution of India, specifically Article 19 and 324, which states that the government shall not deny to any person in India equality before the law or the equal protection of the laws. This means that all citizens, including political leaders, are subjected to the same laws and cannot claim any special treatment or privilege based on their status. The Supreme Court and High Courts have the power to interpret the Constitution and determine the constitutional validity of any legislation or action of the executive in the country, when challenged before them."
What is meant by ‘Single Citizenship’?," In the context provided, ""Single Citizenship"" refers to the idea that all citizens of a country should have equal rights and opportunities, regardless of their background or status. This means that everyone should have an equal say in the decision-making process and be treated with dignity and respect. The concept of Single Citizenship is closely related to the principle of universal adult franchise, which states that every citizen aged 18 years and above has the right to vote in an election. This principle recognizes that all citizens are equal and deserving of an equal say in the decisions that affect their lives."
Which body audits government spending in India?,The Comptroller and Auditor General of India (CAG) audits government spending in India.
What is meant by ‘Contempt of Court’?,"1. Contempt of Court refers to disobedience or disrespect towards the authority of a court, whether intentional or unintentional. It can involve acts such as refusing to comply with a court order, interrupting a judge during a trial, or publishing derogatory statements about a judicial officer.
2. The introduction of Public Interest Litigation (PIL) in the 1980s is significant because it provides a mechanism for individuals and organizations to file lawsuits on behalf of the public interest, rather than just on behalf of themselves. This helps ensure that the judiciary can address issues that affect the larger society, such as environmental degradation or violations of human rights.
3. When the judges in the Olga Tellis vs Bombay Municipal Corporation case said that the Right to Livelihood was part of the Right to Life, they meant that every individual has a fundamental right to earn a living and support themselves and their families. This right is essential for maintaining a decent standard of living and for the overall well-being of individuals and society.
4. The theme ""Justice delayed is justice denied"" highlights the idea that it is unjust to keep someone waiting for justice, especially when they have been wronged or injured in some way. It emphasizes the importance of speedy trials and timely delivery of justice to ensure that individuals receive the compensation or resolution they deserve in a timely manner.
5. The glossary words are:
* Acquit: to declare someone not guilty of a crime
* Appeal: to file a petition with a higher court to hear a case that has already been decided by a lower court
* Compensation: money given to make amends for an injury or loss
* Eviction: the removal of persons from land or homes they are currently living in
* Violation: both the act of breaking a law and the breach or infringement of fundamental rights
6. The phrase ""Hungry stomachs, overflowing godowns! We will not accept it!!"" used in the poster relates to the photo essay on the Right to Food by highlighting the contrast between the abundance of food that is wasted and the scarcity of food that many people face. It emphasizes the need for governments to take action to ensure that everyone has access to sufficient food.
7. The duties of the government to uphold the Right to Food are:
* Ensuring access to adequate food
* Preventing food waste and spoilage
* Providing food aid to those who are struggling to access food
* Promoting sustainable agriculture and food production practices
* Protecting the rights of farmers and agricultural workers
8. The poster ""Assertive: An assertive person or group is one that can express themselves strongly"" highlights the importance of being able to express oneself effectively in order to bring about change. It emphasizes the need for individuals and groups to be confident and vocal in their demands for justice and equality.
9. The duties of the government to uphold the Right to Food are:
* Ensuring access to adequate food
* Preventing food waste and spoilage
* Providing food aid to those who are struggling to access food
* Promoting sustainable agriculture and food production practices
* Protecting the rights of farmers and agricultural workers."
What does Article 356 deal with?,"Article 356 of the Indian Constitution deals with the suspension of the constitutional rights of a state due to an emergency or natural calamity. Specifically, it allows the central government to assume the powers and responsibilities of a state government in case of such an emergency.

The Class VII textbook includes issues related to equality and its role in Indian democracy, including but not limited to:

* Storyboards: The book utilizes storyboards to explain selected issues, which are used to convey complex ideas through visual means.
* Graphics, collages, photographs, and posters: These visual aids are used to provide visual relief and help students understand the concepts better.

The elements included in the textbook to explain selected issues are:

* Overview: The book begins with an overview of each chapter, which provides an outline of the topics covered and their significance.
* Section and sub-section headings: Each chapter is divided into sections and sub-sections, which help students navigate the content more easily.
* Compensation: In the context of this chapter, it refers to money given to make amends for an injury or loss.
* Eviction: The removal of persons from land/homes they are currently living in is referred to as eviction.
* Violation: Both the act of breaking a law and the breach or infringement of Fundamental Rights are referred to as violation in the context of this chapter."
